code,food,Chakula,TRP,THR,ILE,LEU,LYS,MET,CYS,PHE,TYR,VAL,ARG,HIS,ENERGY_KC ,PROCNT,A_PROTEI ,MFP_PROT,FAT,CHOCDF,FASAT,FAMS,FAPU,CHOLE,FIB,SUCS,PHYTAC,CA,P,MG,K,NA,FE,MFP_FE,ZN,CU,MN,VITA,A_VITA,VITD,VITE,VITC,THIA,RIBF,NIA,VIT B6,FOL,VIT B12,PANT
306,Egg yolk,Kiini cha yai,390,1104,897,1646,1427,864,428,1260,920,1328,1148,480,278,19.2,19.2,19.2,20.7,2.3,5.6,9.8,1.8,1326,0,0,0,96,330,26,333,219,5.9,0,2.1,0.09,0.06,810,810,8,2,0,0.24,0.6,0.3,0.38,120,8.1,1.89
307,"Egg, chicken",Yai la kuku,153,604,686,1075,904,392,292,668,513,767,755,298,155,12.6,12.6,12.6,10.6,1.1,3.3,4.1,1.4,424,0,0,0,50,172,10,126,124,1.2,0,1.1,0.01,0.03,169,169,1,1.03,0,0.066,0.513,0.064,0.121,44,1.11,1.398
308,"Fish, dried, cod",Samaki mkavu,896,3504,3682,6496,7340,2366,858,3119,2699,4116,4781,2352,368,79.8,79.8,79.8,3.2,0,0.7,0.4,1.1,193,0,0,0,49,483,147,854,273,1.8,1.8,2.1,0.14,0.07,49,49,4,4,4,0.32,0.28,8.8,0.98,42,3.68,0.56
309,"Fish, dried, fresh water",Samaki mkavu wa ziwani,662,2590,2722,4802,5424,1750,634,2306,1994,3043,3535,1740,335,58.6,58.6,58.6,9.4,0,2,3.6,2,57,0,0,0,1700,1300,140,953,312,2.5,2.5,5.2,0.45,2.1,0,0,2,0,0,0.1,0.27,8.1,0.41,28,12,1.54
310,"Fish, high fat",Samaki wa mafuta mengi,122,479,503,888,1004,323,117,426,369,563,654,322,103,10.6,10.6,10.6,6.8,0,1.9,3.1,1.1,26,0,0,0,17,125,17,192,88,0.5,0.5,0.3,0.06,0.03,18,18,13,0,0,0,0.09,2.1,0.3,5,5.72,0.46
311,"Fish, raw",Samaki,239,936,984,1735,1961,632,229,834,721,1100,1278,629,112,21.4,21.4,21.4,2.3,0,0.3,0.8,0.7,33,0,0,0,48,228,86,461,55,0.9,0.9,0.4,0.03,0.02,43,43,12,1,0,0.06,0.07,5.7,0.32,11,1.1,0.22
312,"Fish, sardines",Dagaa,239,936,984,1735,1961,632,229,834,721,1100,1278,629,112,21.4,21.4,21.4,2.3,0,0.3,0.8,0.7,33,0,0,0,48,228,86,461,55,0.9,0.9,0.4,0.03,0.02,43,43,12,1,0,0.06,0.07,5.7,0.32,11,1.1,0.22
313,"Fish, small, dried, fresh water",Samaki wadogo wakavu wa ziwani/mtoni,662,2590,2722,4802,5424,1750,634,2306,1994,3043,3535,1740,335,58.6,58.6,58.6,9.4,0,2,3.6,2,57,0,0,0,1700,1300,140,953,312,2.5,2.5,5.2,0.45,2.1,0,0,2,0,0,0.1,0.27,8.1,0.41,28,12,1.54
314,"Fish, small, fresh, fresh water",Samaki wadogo wabichi wa ziwani/mtoni,166,648,681,1202,1358,438,158,577,499,762,885,435,84,14.8,14.8,14.8,2.3,0,0.6,0.9,0.5,58,0,0,0,9,243,22,335,40,0.3,0.3,0.5,0.03,0.02,12,12,10,2,1,0.18,0.06,1.9,0.09,8,2.32,0.73
315,Goat meat,Nyama ya mbuzi,280,1089,1121,1970,2074,638,280,974,838,1213,1576,854,269,24.9,24.9,24.9,18,0,8.4,7.6,0.7,75,0,0,0,4,194,23,340,53,1.7,1.7,4.1,0.09,0.01,0,0,0,0,0,0.08,0.15,3.2,0.33,6,1.87,0.4
